date,connections,uploadGB,downloadGB,totalGB,activeHours,avgConnPerHour
2026-03-08,1277,22.9301,1.5192,24.4493,130,9.82307692307692307692
2026-03-08,1262,22.7769,1.51038,24.28728,129,9.78294573643410852713
2026-03-15,1795,26.6433,1.598,28.2413,160,11.21875000000000000000
2026-03-22,1723,20.9317,1.89079,22.82249,147,11.72108843537414965986
2026-03-29,1861,8.37566,0.764156,9.139816,157,11.85350318471337579617
2026-04-01,1897,3.40694,0.428402,3.835342,161,11.78260869565217391304
2026-04-05,1922,10.4473,0.38962,10.83692,167,11.50898203592814371257
2026-04-12,1914,14.2735,0.488194,14.761694,167,11.46107784431137724550
2026-04-19,1945,12.8032,0.452619,13.255819,167,11.64670658682634730538
2026-04-26,1896,17.9068,1.38523,19.29203,165,11.49090909090909090909
2026-05-01,1901,1.23018,2.01973,3.24991,164,11.59146341463414634146
2026-05-03,1919,0.207649,1.84403,2.051679,166,11.56024096385542168674
2026-05-10,1939,0.21497,2.00036,2.21533,168,11.54166666666666666666
